행정구역코드	1단계	2단계	3단계	격자 X	격자 Y	경도(시)	경도(분)	경도(초)	위도(시)	위도(분)	위도(초)	경도(초/100)	위도(초/100)
4100000000	경기도	nil	nil	60	120	127	0	42.08	37	16	18.64	127.01168888888888	37.27184444444444
4111100000	경기도	수원시장안구	nil	60	121	127	0	44.0	37	18	3.64	127.01222222222222	37.30101111111111
4111156000	경기도	수원시장안구	파장동	60	121	126	59	48.79	37	18	20.1	126.99688611111111	37.30558333333333
4111156600	경기도	수원시장안구	율천동	60	121	126	58	24.88	37	17	41.17	126.97357777777778	37.29476944444444
4111157100	경기도	수원시장안구	정자1동	60	121	126	59	36.15	37	17	57.79	126.993375	37.29938611111111
4111157200	경기도	수원시장안구	정자2동	60	121	127	0	9.44	37	17	32.23	127.00262222222223	37.29228611111111
4111157300	경기도	수원시장안구	정자3동	60	121	126	59	51.59	37	17	37.6	126.9976638888889	37.29377777777778
4111158000	경기도	수원시장안구	영화동	61	121	127	0	58.08	37	17	25.14	127.01613333333333	37.29031666666666
4111159100	경기도	수원시장안구	송죽동	60	121	127	0	33.03	37	17	51.6	127.009175	37.297666666666665
4111159700	경기도	수원시장안구	조원1동	61	121	127	1	6.59	37	17	56.35	127.01849722222222	37.29898611111111
4111159800	경기도	수원시장안구	조원2동	60	121	127	0	42.55	37	18	10.04	127.01181944444444	37.302788888888884
4111160000	경기도	수원시장안구	연무동	61	121	127	1	25.2	37	17	15.79	127.02366666666667	37.28771944444444
4111300000	경기도	수원시권선구	nil	60	120	126	58	26.67	37	15	17.04	126.974075	37.254733333333334
4111352000	경기도	수원시권선구	세류1동	60	120	127	0	36.2	37	15	33.69	127.01005555555555	37.25935833333333
4111353000	경기도	수원시권선구	세류2동	61	120	127	0	54.47	37	15	1.86	127.01513055555556	37.25051666666667
4111354000	경기도	수원시권선구	세류3동	61	120	127	0	50.52	37	15	22.39	127.01403333333333	37.25621944444445
4111355000	경기도	수원시권선구	평동	60	120	126	59	46.08	37	15	18.6	126.99613333333333	37.25516666666667
4111356000	경기도	수원시권선구	서둔동	60	120	126	59	17.15	37	16	11.01	126.98809722222222	37.269725
4111365000	경기도	수원시권선구	구운동	60	120	126	58	24.88	37	16	27.64	126.97357777777778	37.274344444444445
4111366200	경기도	수원시 권선구	금곡동	59	120	126	57	7.85	37	16	21.86	126.9521816	37.2727402
4111366400	경기도	수원시 권선구	호매실동	60	120	126	57	25.52	37	15	58.41	126.9570883	37.2662253
4111367000	경기도	수원시권선구	권선1동	61	120	127	2	13.11	37	15	13.6	127.036975	37.25377777777778
4111368000	경기도	수원시권선구	권선2동	61	120	127	1	54.4	37	14	54.57	127.03177777777778	37.248491666666666
4111369000	경기도	수원시권선구	곡선동	61	120	127	2	7.52	37	14	25.39	127.03542222222222	37.240386111111114
4111370000	경기도	수원시권선구	입북동	60	121	126	57	42.23	37	17	25.52	126.96173055555556	37.29042222222222
4111500000	경기도	수원시팔달구	nil	61	121	127	2	16.2	37	16	59.17	127.03783333333332	37.28310277777778
4111565000	경기도	수원시팔달구	매교동	61	120	127	0	58.59	37	15	56.44	127.016275	37.265677777777775
4111566000	경기도	수원시팔달구	매산동	60	120	127	0	28.0	37	15	57.2	127.00777777777778	37.26588888888889
4111567000	경기도	수원시팔달구	고등동	60	120	127	0	11.59	37	16	13.73	127.00321944444444	37.27048055555556
4111568000	경기도	수원시팔달구	화서1동	60	120	126	59	48.79	37	16	25.86	126.99688611111111	37.273849999999996
4111569000	경기도	수원시팔달구	화서2동	60	121	126	59	46.88	37	16	49.85	126.99635555555555	37.28051388888889
4111570000	경기도	수원시팔달구	지동	61	120	127	1	49.88	37	16	45.16	127.03052222222222	37.27921111111111
4111571000	경기도	수원시팔달구	우만1동	61	121	127	1	53.23	37	16	57.14	127.03145277777777	37.28253888888889
4111572000	경기도	수원시팔달구	우만2동	61	120	127	2	30.67	37	16	30.42	127.04185277777778	37.27511666666667
4111573000	경기도	수원시팔달구	인계동	61	120	127	1	24.2	37	16	3.2	127.02338888888889	37.26755555555555
4111574000	경기도	수원시팔달구	행궁동	61	121	127	0	53.11	37	16	52.51	127.01475277777777	37.28125277777778
4111700000	경기도	수원시영통구	nil	61	120	127	2	55.08	37	15	22.72	127.04863333333333	37.25631111111111
